평점,댓글
5,명의 ㅠㅠ... 친절
4,시설 깨끗하고 깔끔하고 쾌적합니다. 원장 선생님 굉장히 친절하시고 환자 말도 잘 들어주세요. 다만 접수대에 계신 직원분들은 환자가 와서 접수대에 서있는데도(심지어 눈도 마주쳤는데도) 아랑곳 않고 본인들끼리 수다떨기 바쁘네요.
5,귀와 관련해서 내원했었는데 충분히 안심이 되도록 진료해주십니다.
5,"대표원장 선생님이 너무 친절하게 잘 해주셨어요,,, 감사합니다"
5,관악구 이비인후과는 이곳 포함해서 두 곳을 가보았는데 같은 결과를 받았지만 여기는 꼼꼼하며 천천히해주시고 이유와 대처법을 친절하게 해주셔어 신뢰가갑니다. 약도 직빵
5,"다른 이비인후과 갔다가 옮긴 곳!  의사선생님(김은* 대표 원장님)께 진료 받았는데 정말 친절하시고 설명도 잘해주셔서 감사했습니다. 병명은 외이도염이였는데 생긴 원인이랑 통증 정도도 말씀해주시고, 소독치료도 꼼꼼하게 몇번이나 해주셨어요! 덕분에 안심하고 갑니당 정말 만족스런 치료였어요  환자 입장에서 눈높이에서 생각해주시는 게 느껴졌어요. 감사합니다!!"
5,퇴근 후 들렸는데 마감직전이더군요ㅠㅠ조금 초조하고 죄송하기도했는데 검사도 빠짐없이 해주시고 개인에 맞춰서 약도 처방해주시고 친절했습니다ㅠㅜ약먹고 바로나은기분이에요! 
5,"대표원장 선생님이 너무 친절하게 잘 해주셨어요,,, 감사합니다"
5,관악구 이비인후과는 이곳 포함해서 두 곳을 가보았는데 같은 결과를 받았지만 여기는 꼼꼼하며 천천히해주시고 이유와 대처법을 친절하게 해주셔어 신뢰가갑니다. 약도 직빵
5,"다른 이비인후과 갔다가 옮긴 곳!  의사선생님(김은* 대표 원장님)께 진료 받았는데 정말 친절하시고 설명도 잘해주셔서 감사했습니다. 병명은 외이도염이였는데 생긴 원인이랑 통증 정도도 말씀해주시고, 소독치료도 꼼꼼하게 몇번이나 해주셨어요! 덕분에 안심하고 갑니당 정말 만족스런 치료였어요  환자 입장에서 눈높이에서 생각해주시는 게 느껴졌어요. 감사합니다!!"
5,퇴근 후 들렸는데 마감직전이더군요ㅠㅠ조금 초조하고 죄송하기도했는데 검사도 빠짐없이 해주시고 개인에 맞춰서 약도 처방해주시고 친절했습니다ㅠㅜ약먹고 바로나은기분이에요! 
5,그쪽 동네 원탑임 설명도 알기 쉽게 해주시고 꼼꼼히 오래 진료봐주심 강추
5,명의 ㅠㅠ... 친절
4,시설 깨끗하고 깔끔하고 쾌적합니다. 원장 선생님 굉장히 친절하시고 환자 말도 잘 들어주세요. 다만 접수대에 계신 직원분들은 환자가 와서 접수대에 서있는데도(심지어 눈도 마주쳤는데도) 아랑곳 않고 본인들끼리 수다떨기 바쁘네요.
5,귀와 관련해서 내원했었는데 충분히 안심이 되도록 진료해주십니다.
5,그쪽 동네 원탑임 설명도 알기 쉽게 해주시고 꼼꼼히 오래 진료봐주심 강추
5,명의 ㅠㅠ... 친절
4,시설 깨끗하고 깔끔하고 쾌적합니다. 원장 선생님 굉장히 친절하시고 환자 말도 잘 들어주세요. 다만 접수대에 계신 직원분들은 환자가 와서 접수대에 서있는데도(심지어 눈도 마주쳤는데도) 아랑곳 않고 본인들끼리 수다떨기 바쁘네요.
5,귀와 관련해서 내원했었는데 충분히 안심이 되도록 진료해주십니다.
5,"대표원장 선생님이 너무 친절하게 잘 해주셨어요,,, 감사합니다"
5,관악구 이비인후과는 이곳 포함해서 두 곳을 가보았는데 같은 결과를 받았지만 여기는 꼼꼼하며 천천히해주시고 이유와 대처법을 친절하게 해주셔어 신뢰가갑니다. 약도 직빵
5,"다른 이비인후과 갔다가 옮긴 곳!  의사선생님(김은* 대표 원장님)께 진료 받았는데 정말 친절하시고 설명도 잘해주셔서 감사했습니다. 병명은 외이도염이였는데 생긴 원인이랑 통증 정도도 말씀해주시고, 소독치료도 꼼꼼하게 몇번이나 해주셨어요! 덕분에 안심하고 갑니당 정말 만족스런 치료였어요  환자 입장에서 눈높이에서 생각해주시는 게 느껴졌어요. 감사합니다!!"
5,퇴근 후 들렸는데 마감직전이더군요ㅠㅠ조금 초조하고 죄송하기도했는데 검사도 빠짐없이 해주시고 개인에 맞춰서 약도 처방해주시고 친절했습니다ㅠㅜ약먹고 바로나은기분이에요! 
5,의사 선생님 너무 친절하시고 진료도 잘봐주세요
5,의사선생님이 너무너무 친절하세용
5,"외국인 친구랑 같이 갔는데, 시설도 좋았고 의사선생님도 증상에 대해 잘 설명해주셔서 만족합니다. 간호사분들도 친절해요. "
5,의사선생님이 너무 친절해요!!
5,좋아요 
5,의사 선생님 너무 친절하시고 진료도 잘봐주세요
5,의사선생님이 너무너무 친절하세용
5,"외국인 친구랑 같이 갔는데, 시설도 좋았고 의사선생님도 증상에 대해 잘 설명해주셔서 만족합니다. 간호사분들도 친절해요. "
5,의사선생님이 너무 친절해요!!
5,좋아요 
5,의사 선생님이 너무 친절하셔요 ㅎㅎ
5,다들 너무 친절하구 쾌적하구 앱으로 진료순서를 알려주셔서 편했어요!
2,오전중에 병원 한산한데 따로 직원실이 없는건지 직원들 데스크에 다 모여서 떠들고 핸드폰하고 위아래로 훑어보고 불친절함. 
5,좋은병원
5,수액도 맞을 수 있고 좋습니다! 감기걸리면 가고.. 귓병나도 치료엄청 잘해주십니다!
5,최고입니다
5,의사선생님이 친절하십니다. 가 본 이비인후과 중에서 이렇게  자세히 설명을 들은 적은 처음이에요.
5,재작년인가 오픈한다고 부채받고나서 처음갔는데 비염약 받고 광명 찾았습니다 비염분들 꼭 여기가세요 
5,울동네 이비인후과 있어도 버스타고 여기만 감
5,친절하시고 꼼꼼하게 잘 설명해주십니다. 그리고 무엇보다 일 자체를 즐기시는 기분이 들어 저까지 기분이 좋아지네요 ㅎㅎ
5,와 진짜 이런 병원이 집 근처에 있다니 놀랍습니다. 다른 병원에서 원인을 못찾던 것을 바로 찾아주시네요 열심히 치료할게요 감사합니다 병원에 이렇게 별점 다는 것은 정말 만족해서 다는 거에요 :) 친절하고 친절하십니다
5,원장님 넘 친절하시고 잘 봐주시네요 감사합니다!!
5,"원장님께서 정말 너무 친절하셨구요~~! 진료하실 때, 증상에 대한 얘기도 잘 들어주시고, 또 그것에 대해 답변도 명쾌히 하셔서 충분히 이해할 수 있었습니다!:) 또 증상이 어떤지도 면밀하고 정확하게 살펴주시고, 맘편히 진료 받을 수 있었네요!! 병원도 깨끗하고 크니 좋았고, 병원 해당층 바로 옆에 약국까지 같이 붙어있어서 이용하기도 편리할 것 같다는 생각이..."
5,의사님 두 분 모두 진료 세심하게 봐주시고 설명도 자세히 해주세요. 투약을 어려워하니까 방법 몸소 보여주시는 거 보고 감동받아서 후기 남깁니다 ㅋㅋㅋㅋㅋㅋ 
5,의사선생님께서 정말 친절하시고 진료도 세심하게 봐 주세요. 진료 끝나고 다시 진료실에서 나와서 안내해주시는 의사선생님 처음 봤어요.
5,의사 선생님하고 직원분들 정말 친절합니다. 특희 원장님이 세세하게 설명을 해주십니다. 병원 청결도도 매우 훌륭합니다.
5,원장님 감동이에요ㅠ 친절 그 자체ㅜ
5,대표원장님 친절하시고 과잉진료 없어서 좀 멀어도 꼭 여기로 갑니다!!  
5,선샹님 친절하고 잘 봐주시고 환자 의사를 존중해줄 줄 아시는 분 제 원픽이에요 원장님
5,여기 오픈했을때부터 다녔는데 지긋지긋하던 만성 기침 떨어지게 해주셨어요 김은성 선생님 정말 친절하세요 환자 얘기 들어주시고 조근조근 설명해주시고 차분히 여기저기 다 봐주시고 사실 시간에 쫓기고 환자가 많다보면 이렇게 계속 친절하시기 힘든데 대단하시네요 회사분들한테도 추천 많이 했어요 집 근처에 이런 좋은 병원이 있다는게 참 좋습니다 늘 감사드려요
5,친절하고 깨끗해요!
5,휴가 내고 방문할 예정! 귀지 맛집이에요
5,이석증 치료 잘 받았습니다 재발 없이 잘 지내고 있어요
3,친절하긴한데 진료 30초컷...코로나라 그런지 검사 받아보라하고 끝남
5,봄철이나 환절기때마다 비염이 심해 고통스러운데 여기 병원다니고 정말 많이 호전되고 일상생활을 하네요ㅠ 원장님 너무 친절하게 가족처럼 진료해주시고 간호사분들도 엄청 친절하세요 코로나로인해 의료진들 정말 감사한데 그 와중에서도 친절 미소 잃지않는 모습이 너무나 감사합니다ㅠ 병원 진료시간도 길어서 진짜 아플때 언제나 진료볼 수 있어서 좋아요 역에서 바로 앞에 있...
5,"아파서 혼자 고생하다가 리뷰가 좋아서 방문했는데 너무너무 친절하시고 좋았어요! 결국 편도염때문이었는데 의사선생님도 왜 아팠던건지,  편도염이 생기면 어떤 증상이 있는지 알려주셔서 잘 이해됐어요~ 다음에도 이비인후과 오게 되면 여기 방문할 것 같아요 :) 오늘이 토요일이라 조금 대기가 길긴 했지만 그래도 간호사 선생님들이 차분히 정리 잘 해서 진료볼 수 있도..."
5,엄청 친절하세요~ 모두 건강하길 기원합니다.
5,"지금까지 가본 병원 중 의사, 간호사 선생님들이렇게 다 친절한 곳은 처음이에요.. 그리고 신속항원검사 받았는데 그저께 받았던 다른 곳은 대충 쓱 넣어서 의심스러워서 이것에서 다시 받은건데  안아프게 깊숙한 곳에 찔러주셔서 믿을 수 있을 것 같아요! "
5,신속항원검사도 잘하시고 직원분들 친절합니다.. 환자가 많아서 직원들이 걱정되네요~~~
5,신속정확하고 친철하셔서 신림최고라고 할수있어요  직원분들 업무량에 걱정될판
5,유명해서 알고 가긴했지만 너무너무 친절하세요 진찰도 꼼꼼히 해주시고 너무 만족합니다 사람이 많아서 대기가 좀 있어요
5,의사 선생님이 엄청 친절하셔요! 근데 자외선 어쩌고 기계 쪽으로 안내해주시는 간호사님이 설명을 무슨 랩하듯이 하시더라고요 더 잘 알아들을 수 있게 천천히 설명해주시면 좋을 것 같아요
5,여기 진짜 친절함. 사람 너무 많음. 돌청으로 귀가 안들려서 내 이름도 못알아듣고 그래서 혼자 1시간 넘게 기다렸더니 의사까지 너무 미안하다고 친절하게 대해주셔서 아픈 와중에도 정말 감사했음. 진료도 정확하게 봐주시고 의뢰서를 써주시면서 대학병원가라고 해주심. 현재 대학병원에서 잘 치료받고 있음.
5,"후기들처럼 뭐 엄청 슈퍼친절!!!! 이거까지는 모르겠지만.. 일처리 빨리빨리 하시면서도 절대 대충은 없더라구요. 신속항원 검사가 진짜 신속하게 처리돼서 신속항원인가 싶을 정도로 순식간에 끝났습니다. 5,300원 나왔어요~ 약 처방받으시면 약값은 따로입니당"
5,"귀청소하러 한 번, 신속항원검사 한 번 방문했는데 의사 분과 검사해주시는 분, 간호사 분 다 친절하세요. 특히 역대 받아본 코로나검사 중에 가장 친절하게 해주셨어요. 검사자도 많던데.. 감사합니다^^"
5,빠르고 친절
5,신속항원검사받았어요. 병원 깔끔하고 친절하십니다.  근처 다른 선별진료소 있는 병원은 사람도 많고 오래걸리는데 여기는 이십분이면 다끝나고 나올 수 있어요. 가격도 저렴합니다. 
5,바쁘고 힘드실텐데 다들 너무 친절하시고 웃으면서 대해주셨어요!!
5,"신속항원검사 받으러 갓는데,, 걍 미쳣움,, 완전 친절함,, 병원에서 이렇게 친절한 거 첨이에요,,  대기+결과까지 나오는데 10- 15분? 쯤 걸렸구 오처넌 나왓음다. "
5,"의사, 간호사 모두 친절합니다. 질문시 대답도 잘 해주시고, 질병 상담도 꼼꼼하게 잘 해주십니다. 저는 비염으로 내원하는데, 이번에 신속항원 검사로도 방문했습니다. 검사도 안 아프게 잘 해주시네요. :) 검사 받고 음성 나와서 바로 진료 본 것도 좋았습니다. "
5,시설 깔끔하고 모두 친절하세요 귀가 건조하고 가려워서 귀지제거할겸 들렀습니다 처방해주신 약 잘발라볼게요
2,F
5,귀지 제거하러 갈 예정
1,회사 서류 진단서 때문에 방문전 2번이나 병원 측으로 연락드렸습니다. 사람 많은 건 둘째치고 진단서 발급 때문에 의사분이나 간호사분이 어느정도 진료시간 감안하고 원활하게 처리가 되게끔 환자 배려와 서비스마인드는 기본 아닌가요? 데스크 쪽에서도 진료 받기 이전에 물어봤습니다. 진료 시 회사 서류 진단서 제출 필요하다구요. 진료받느라 정신없고 몸도 아파서 말을...
5,좋아요좋아
5,버스타고 나와야하는데 여기 병원 간호사 샘들도 의사쌤도 친절하셔서 일로 계속 오게되네요 ㅎ
5,뭐지 이 미친 텐션의 친절함은 하이텐션인데 부담되지 않는 친절함 이유없이 또 오고 싶어진다
5,이렇게 친절한 병원 처음이에요 간호사분들이 너무너무친절하심 !!!!!!! 의사분도 친절하시고 잘 봐주세요 !! 집에서 먼데도 일부러 찾아간 보람이 있어요 병원시설도 깨끗해요
5,"의사선생님, 간호사선생님들 너무너무너무 친절하세요... 모든 병원이 이랬으면 좋겠네요ㅠㅠ  다른 병원 갔다가 너무 험하게 봐주시고 더 아픈 것 같아서 찾다 찾다 여기로 왔는데, 세심하게 안아프게 진찰해주시네요ㅠㅠ 감사합니다 너무!!"
5,사람도 많은데 간호사 선생님들 엄청 친절하세요
5,여기가 귓밥 맛집인가요..?!
5,귀청소 구독자라 1시간 30분거리를 걸려서 갔는데 처음 들어설때부터 친절하신 간호사님이 안내해주시고 마스크를 쓰셧음에도 미소가 뚫고 나올정도로 친절하셨습니다. 의사선생님께서 역시 친절히 설명해주시고 그저 귀 하나만 팠음에도 불편한거 없는지 어떤 문재가 생길시 바로 내원하라 등 친절한 응대에 너무 좋았어요 거기서 구독자라고 영상 잘봤다고 말하고 싶었는데 저녁...
5,원장님도 친절하시고 선생님들도 다 친절하세요 병원 내부 깨끗하고 불편해서 간 병원에서 기분 좋게 나올수 있어요!
5,편도염이 와서 발열 인후통 오한 근육통으로 죽어가는 와중에 방문 간호사선생님 모두 빠짐없이 친절하시고 의사선생님도 꼼꼼하게 친절하게 잘 봐주셨습니다 해열수액 맞고 죽어가던 몸뚱이 부활한 뒤 처방해주신 약과 가글 잘 복용하니 증세가 많이 호전되어 서비스와 치료 모두 뛰어난 병원 쾅쾅 도장 찍었습니다 인기가 많은 이유를 알겠어요 추천합니다
2,"코로나 백신 맞으려 갔는데 사람 엄청 많아 복잡해서 오히려 코로나감염 불안했어요  간호사분들이 많은데 제가 느끼기엔 다들 분주하고, 바빠서 맞으려는 백신이 잘 관리되어 접종되는지 걱정이 되네요  접종전 예진도 3명 한꺼번에 불러서 하네요   제 앞에 한분은 기다리다 기다리다 안불러서 데스크가서 확인하니 입력이 안되어 있어 있어 데스크 간호사 세분 모두 어리..."
5,최공 다들 친절하시고 좋으세요
5,신림에 이런병원있는건 복이다..너무다들 친절해서 입구들어오는거부터 병이 낫는거같음. 특히이번에 백신놔주던 실장님 너어어어무 친절하셔서 나까지 기분좋음
5,안녕하세요. 언제나열린이비인후과 대표원장 윤연섭입니다. 우선 9월12일 일요일 본원을 찾아주신 많은분들께 우선 죄송하다는 말씀드립니다. 전산장애와 직원의 일처리 미숙으로 대기시간이 길어진점 사과드리고 대책마련을 위해 근무스케줄을 조정하고있습니다.  아래 리뷰에서 말씀해주신 직원은 금일 두번째 출근한 수습직원으로 저희도 불량한 태도에 대해 인지하고 이미 해고...
5,유쾌하신 간호원님과 꼼꼼하게 살펴주시는 선생님
5,친절하시고 좋아요
5,무조건 이빈후과는 여기로갈겁니다
5,별점 더주고싶은데 5개가 최대치네용
5,건물이 엄청 낡아서 반신반의했지만  간호사분들도 친절하고 의사선생님도 친절하심  
5,너무 친절하시고 좋아요ㅎㅎ 왜 평점 5점인지 알겠어요
5,여기 최고에요.. 모든분들이 친절하시고 시설도 굉장히 좋은곳은 처음보네요 다른 분야의 병원들도 이랬으면 좋겠어요
5,별 5개 이상의 가치
5,멀지만 꼭 한 번 가고싶습니다.
5,선생님도 데스크 직원분들도 진짜 왕친절하고 병원 분위기도 좋고 신경도 많이 써주시고 세척도 안아프게 해주시고ㅠㅠㅠㅠ최고입니다ㅠㅠ(의사선생님 잘생겼어요)
5,예전에 여자친구아파서 같이 갔는데 인포 간호사 분들이 매우 친절했던 기억이 있네요. 그후로 여기 다니고있습니다
5,후기보고 갔는데 후기좋은 이유가 있네요 핵친절하심 의사쌤도 친절하고 자세히 알려주시고 좋아여
5,좋아요ㅎㅎ
5,여러 곳 다 다녀봤는데 여기가 신림 근방 이비인후과 중에서 제일 친절하고 좋아요 ㅠㅠㅠㅠㅠ 다들 여기 가세요!
5,유튜브보고 찾아갔는데 친절한고 자세히 설명해주셔서 좋았어요! 
5,전부 친절하시고 섬세하게 잘해주세요  ^-^
5,정말 친절한 병원 .카운터 선생님. 원장선생님.모두가 정성이 가득한 분들 .최고 입니다.
5,요기가 귀지제거 잘하는곳으로 소문  나서 조만간 진료 받으러 갈게요
5,간호사님들과 의사님들이 너무 친절하셔서 마음 편하게 진간 받을수있어서 좋았어요. 의사님도 상담할때 잘 들어주시고 그래서 너무 좋았어요. 감사합니다 
5,별점 알바인가? 반신반의로 갔는데 진짜 5점인 이유가 있어요 잎으로 이비인후과는 여기만 갈거에요ㅠ 진짜 모두가 원하는 병원 느낌에 친절하고 친절하고 또 친절하고... 요즘 굉장히 불친절하고 제대로 진료도 안하고 약만 주는 병원이 많은데 여긴 그런거 절대 없었어요 진료도 잘 봐주셨어요
5,진짜 넘우 친절해서 몸둘바를 모르겠어요.... 맨날 아프고십따....
5,친절하고 좋으십니다
5,리뷰랑 평점5점만점인거 보고 알바 or 바이럴이라 생각했는데 진료받아보니 5점 줄만하네요.
5,2진료실 담당 선생님께서 친절하고 상세하게 증상 설명해 주셔서 감사했습니다. 
5,진짜 만족할만한 병원의 모범적인 케이스
5,후기보고 온 건데 100퍼센트 만족합니다  리뷰대로 직원분들과 원장님 모두 친절하셔서 제일 좋았구요 둘째로 과잉진료가 없어서 편했어요 불필요한 약이나 검사 없어서 큰 돈 들이지 않고 편하게 진료 받고 왔어요
5,진짜 친절하네요 이비인후과는 앞으로 여기만 올래요
5,정말 모든 선생님들 간호사샘 한분한분 감동입니다. 설명도 잘해주시고 깨끗하고 정말 좋은 병원입니다 괜히 후기도 쓰고 싶어서 사진찍어왔어요
5,- 언제나 열린 이비인후과를 안 가본 자 K-의료를 논하지 말라 - 살면서 가본 병원 중에 제일 실력 좋으시고 친절하시고 시설도 깨끗한 곳 다른 병원에서 응급실 가라고 한 거 꼼꼼히 잘 봐주셔서 큰 병원 안 가고 해결 설명도 정말 잘 해주셔서 다음 내원 때까지 안심하고 기다릴 수 있었음 원장님 포함 의사 선생님 두 분 뵈었는데 두 분 다 정말 좋으셨음 간호...
5,"않이, 앵간해서는 리뷰말 안믿는데 여긴 진짜 친절+쾌적+깨끗함. 접수할때 간호사분들부터 진료봐주시는 쌤까지, 마이너스할 요소가 1도 없음. 병원의 모든분들 다정한 말투이시고 내가 하는 말을 끝까지 들어주심. (예전에 다른 병원에서 의사가 자꾸 내말 끊고 일단 보자고만해서 싫었음)  번창하고 또 번창하세요. 신림 최고의 병원예여!!"
5,입구에서 멍멍이들이 반겨주고 간호사선생님도 친절하시고 의사선생님도 친절하시고 진료도 잘봐주세요
5,"몸살로 내원. 마늘주사 비타민 아미노 맞았는데, 효과가 좀 있었어요. 근데 잘 안낫는 몸이되어서 그뒤로 두번 더 가서 맞았어요. 총 3번. 2번은 비타민 아미노 마늘 3번째는 비타민 아미노 마늘 비타민d까지(2만원). 실비처리다 되더군요. 세부내역서같은건 없다합니다. 실비회사서 요구할줄알았는데, 여기건 몸살 감기 기침으로 서류가 잘 되어서 세부내역서 안떼도..."
5,귀에서 바스락 거리는 소리가 나서 혹시 귀지가 고막 가까이 들어갔나 싶어서 걱정되어서 찾아갔어요. 평점이 너무 좋아서 반신반의 했는데..데스크에 계신분도 너무 친절하시고 의사선생님도 친절하시네요! 고막가까이 털?같은게 붙어있어서 떼주시고 소독도 다 해주셨어요. 늦게까지 운영하셔서 직장인이 가기에도 너무 좋은것 같아요
5,간호사쌤 의사쌤 너무 다 친절하시고 약도 잘들었어요!
5,여기 가세요 두번가세요 세번가세요 간호사 선생님들 진짜 엄청 친절해요 진짜 진짜 진짜 강력 추천
5,의사선생님도 간호사선생님도 데스크직원분들도 너무 친절하셔서 이시기에 아파서 걱정많았는데도 기분좋게 방문했어요 ! 약때문에 갈증나서 전화해서 여쭈어봤는데 너무 친절하게 대답해주셔서 더 감동받았습니다 ㅜㅠ 여태껏 가본 병원중에 제일로 친절하셨어요 !
5,"몸살로 내원. 마늘주사 비타민 아미노 맞았는데, 효과가 좀 있었어요. 근데 잘 안낫는 몸이되어서 그뒤로 두번 더 가서 맞았어요. 총 3번. 2번은 비타민 아미노 마늘 3번째는 비타민 아미노 마늘 비타민d까지(2만원). 실비처리다 되더군요. 세부내역서같은건 없다합니다. 실비회사서 요구할줄알았는데, 여기건 몸살 감기 기침으로 서류가 잘 되어서 세부내역서 안떼도..."
5,귀에서 바스락 거리는 소리가 나서 혹시 귀지가 고막 가까이 들어갔나 싶어서 걱정되어서 찾아갔어요. 평점이 너무 좋아서 반신반의 했는데..데스크에 계신분도 너무 친절하시고 의사선생님도 친절하시네요! 고막가까이 털?같은게 붙어있어서 떼주시고 소독도 다 해주셨어요. 늦게까지 운영하셔서 직장인이 가기에도 너무 좋은것 같아요
5,간호사쌤 의사쌤 너무 다 친절하시고 약도 잘들었어요!
5,여기 가세요 두번가세요 세번가세요 간호사 선생님들 진짜 엄청 친절해요 진짜 진짜 진짜 강력 추천
5,의사선생님도 간호사선생님도 데스크직원분들도 너무 친절하셔서 이시기에 아파서 걱정많았는데도 기분좋게 방문했어요 ! 약때문에 갈증나서 전화해서 여쭈어봤는데 너무 친절하게 대답해주셔서 더 감동받았습니다 ㅜㅠ 여태껏 가본 병원중에 제일로 친절하셨어요 !
5,지대로다 다들 가보셈 
5,완전 친절함!!!!!
5,이비인후과는 여기로 가시면 됩니다.
5,다른분들 말처럼 진짜 친절하시고 오랫동안 비염때문에 기침 가래 심했었는데 저번에 진료받고 약 먹고 좋아졌습니다 다른병원 여러군데 가보다가 정착했어요 지금까지 가본 병원 중에 제일좋아요!!!ㅎㅎ
5,평생 만나봤던 의사&간호사 선생님들 중에 친절함에 있어서는 정말 최고입니다. 하나 하나 자세한 설명을 해주신 의사선생님께 감사드립니다. ^^
5,간호사 의사샘 친절하고 설명도 상세히 열심히 해주십니다 만족
5,간호사분들도 정말 친절하세요. 이석증때문에 갔는데 의사선생님도 너무 친절하시고 치료한번으로 정말 좋아졌어요. 어지러워서 일상생활이 힘들었는데 정말 감사합니다. 의사선생님 간호사 선생님들 정말 감사합니다. 
5,"의사선생님, 간호사분들 모두 너무너무 친절하세요!! 설명도 잘해주시고, 진짜 환자를 위해주시는 거 같아서 감동입니다ㅠ 혼자 자취하는 학생인데, 혼자 많이 힘들었겠다며 말씀해주시는데 눈물이...ㅠㅠ 앞으로 이비인후과 여기만 갈거같아요ㅠㅠ 감사합니다"
5,청결함은 기본 항상 친절하시고 세심한 진료로 믿음이 가는 병원입니다.  병원을 들어서면 이 아이들이 반겨줍니다.
5,이비인후과는 여기만 갑니다. 
5,정말 친절하시고 잘봐주십니다 ! 오고갈때 기분이 좋습니다.
5,의사쌤이 친절하시고 이름처럼 진료 시간이 길다 
5,정말 친절하세요. 너무너무 아팠을때 앓다가 간거라 몰골도 말이 아니었을텐데 다정하게 잘 대해주셨어요. 실비보험 되어있다고 말씀드리니 서류도 꼼꼼하게 잘 챙겨주시고 처방해주신 약도 잘 들었어요. 최고최고~
5,면봉으로 귀파다가 귀가 막혔는데 속시원하게 해결해주셨어요!! 굿
5,잘봐주세요
5,내과에서 못 잡은 독감 바로 잡아주셨습니다. 되게 친절하고 편안해지는 곳이에요!
5,여자친구가 감기에 걸려서 2번 방문했는데요~! 너무 친절하게 입구부터 인사해주시고 옆에 있던 저도 기분이 좋았네요 ㅎㅎ
5,언제나 친절하시고 잘봐주세요 비염때문에 이비인후과 여러군데 다니는데 신림에선 여기가 제일 좋아요 간호사쌤들도 친절하시고 의사쌤도 약 과하게 안주시고 증상도 잘 설명해주세요 좋아요!!
5,간호사분들도 상냥하고 의사선생님도 친절하세요 :)
5,신림동에서 오래 지냈고 이 동네 병원 여기저기 다 다녔는데 여기만큼 좋은곳 못봤어요... 보통 원장님이 친절하시면 간호사분들이 불친절한 곳이 유독 많거든요 신림동이..하... 근데ㅜ여기는 원장님도 천사 같으시고 간호사분들도 엄~청 친절하시고 착하세요 ㅠㅠ그리고 병원이 되게 깨끗하고 깔끔하네요ㅡ. 오늘 수액 맞고 가는 길인데 청결하구요 주사도 안아프게 놓으세...
5,정말 좋아요 간호사님도 너무 친절하고 활기차서 기분좋게 진료 받고 의사 선생님도 진료 정말 잘보시고 꼼꼼하게 보셔서 신뢰가 가요 몇년간 간 이빈인후과중 제일 잘보고 친절한 곳입니다!
5,들어가는순간 간호사분들이 일어서서 인사해주시구 넘넘친절해요~!! 시설도 깨끗하고 바로 맞은편이 약국이라 좋네요ㅋㅋㅋ
5,의사선생님도 간호사선생님들도 너무너무 친절하세요 인생 역대급 친절 병원 입니다!!! 
5,간호사분들도 의사 선생님도 모두 다 친절하시고 유쾌하고 다른 병원보다 실력도 좋고 다 좋아요 역시 별점 보고 오길 잘 한듯해요
5,진짜 친절하고 만족해요 가격도 생각보다 저렴했어요 여기 진짜 추천 !!!!
5,신랑이 이석증판정받고 양지에서 안되던거.. 여기서 한방에 해결. 나도 귀에 이명들리는거같아서 내원해서 한번치료받고 싹 나았음 원장님 친절^^ 간호사님 최고~!
5,들어서면 간호사님들 부터가 활짝 웃어주는 병원이에요~ 원장님 말씀도 잘해주시고 환자 상황도 잘이해해주십니다. 특히 의사 특유의 딱잘라 이거니 이렇게해라 라는 강압적으로 진료 하시지도 않으세요. 좋은 병원 강추드리고 덕분에 편도염 잘 치료하였습니다~
5,모두 친절하시고 공휴일도 열어주셔서 갑자기 아픈 환자들에게 좋아요.
5,"이비인후과를 밥먹듯이 가는 사람인데, 신림으로 이사와 마땅히 만족스런 곳이 없어서 걱정하던 중에 이런 좋은 곳 찾게되어 다행이라 생각합니다ㅠ 진짜로요ㅠㅠㅠㅠ  이렇게 꼼꼼하게 진료봐주시는 곳 요즘 찾기 힘들어요.... 간호사언니분들도 다 너무 친절하셔서 부담없이 다녀왔습니다ㅎㅎㅎ"
5,"르네상스와 어울리지않게 넘세련되고 깔끔하네요. 친절하시고 평일야간, 일요일 다 열어서 좋네요. 추천합니당ㅋ"
5,개업한지 2주 됐다더라구요. 시설 깔끔했고 의사선생님 젊으시고 친절하셨구요. 간호사분들도 정말 친절하셨습니다. 이대로만 계속 하시면 이동네에서 가장 괜찮은 이비인후과 취급 받을거 같네요. 일요일에도 오전중에도 진료한다네요 추천합니다
1,내가 소리가 안 들려서 간댔나?? 진료할 거 없으니까 대뜸 귀 청각상태 체크만 하고 돈만 크게 깨지고 끝남. 내가 호구라는 생각 뿐임. 이거 진료 왜 하는거냐고 물어나 볼 걸.. 가까운 곳이라 그냥 갔는데 두번다신 가지 말아야겠다는 생각 뿐임..   코로나 진료는 잘함. 코로나 진료만 잘함.  근데 요즘 시국 마스크도 슬슬 벗는데 이게 맞나 싶다
1,의사 분은 실력은 좋으신데  자존감높으시고 배려감이 조금있다가 없다가  검진 너무 터푸하게해서 불편   아이 코로나 검사 넘 세게해서 코피남  어른이해도 엄청  몰아붙임 눈얼을 찔르는 느낌  약은  신중하게해서 약한편임   가상캐릭터로 동영상 찍어  많은정 보를 올리는데 괜찮은가 싶다가도 거침 너무 거침 거친 손길원하시면 가시면되요  
