,댓글
400,시설은깔끔하고 좋은데 가격이 타치과보다는 좀 많이 비싼듯 주차장도 미즈랑헷갈리게 분간이안가서 주차비 쌩돈 날림ㅠ
401,"깨끗하고 인테리어가 넘 예쁜 치과예요
상담해주신 실장님. 원장님. 직원분들 모두 친절하고 설명을 잘 해주셨어요"
402,치료가 아프지 않아서 좋아용
403,"모든 직원분들 친절하시고 치료,설명,상담 꼼꼼하게 잘해주십니다 "
404,"저는 좀 속상한 부분이 있네요 아이가 여기 치과를 다니기 시작해서 저도 스케일링 받다가 충치가 있는게 발견이 되어서 치료 받고 있는데 마스크 안 쓰
시고 오는 분들 보면 마음이 불편해요 접수대에 있는 여직원 분도 마스크를 제대로 정확히 착용해 주셨으면 좋겠어요  여름이라 더워서 답답하고 힘든
건 알지만  서로를 위해 기본적인 에티켓은 지켜주셨으면 해요 치과 치료받다보면 길어지는 부분이야 저도 이해는 하는데 치아 공포증이 있는 저..."
405,"아기진료 볼때마다 친절하고 빠르게 잘해주셔서 좋아요 
"
406,"첫방문이었는데 병원쌤들 너무 친절하시고 잘봐주시는거 같아 좋았어요 ^^ 
야간 진료 찾다가 간 병원인데 만족입니당 !!! "
407,원장님 정말 친절하시고 실장님도 엄청 친절하셨어요 ^-^ 전에 다른 치과에서 잘못 치료한 거도 같이 안타까워해주시고 인테리어도 깔끔해요 더운 날씨 탓인지 에어컨이 넘 빵빵해서 조금 추웠는데 담요도 주셨어요 다음 치료도 예약했습니다
408,"스케일링했는데 너무 깔끔해게 잘 된것 같습니다.
무엇보다 직원분들이 너무 친절하셨습니다~^^"
409,오늘 처음으로 신경 치료 했어요! 그래서 마취 했는데 제 친구가 분명 마취 주사 아프다고 했었거든요???(다른 치과) 근데 저 오늘 주사 맞는데 계속 맞고 있는 거 맞냐고 여쭤봤어요 진짜 느낌도 없어서;;; 근데 지금도 입술이 안 움직이는 걸 보니 신기하네요 .. 그리고 의사 선생님 간호사 선생님 다 친절하시고 하나도 진짜 하나도 안 아프고 계속 여기로 다닐 것 같아요!!! 
410,"너무친절하시고..좋았어요
"
411,"몇달 다니면서 느끼는 거지만 친절하고 원장님 잘하시고 좋습니다.  다만 치아 크라운 할 때 높이를 치위생사 쌤들이 맞추셔서 그 부분이 조금 아쉽고, 치위생사분들 숙련도가 많이 차이가 나는 부분이 아쉽습니다."
412,매우 만족했어요ㅎ
413,항상 너무 좋아요.치료도 잘해주시고 !계속 번창하세요.
414,"처음 방문했는데 스케일링도 차분하게 잘해주시고 
의사선생님, 치과위생사 선생님, 직원분들이 너무너무 
친절하셨어요 !! 재 방문의사 완전 있습니다 "
415,친절하고 치아상태 보고 다른곳에선 모르던 불편함을 알아주니 바로 실력에 믿음이가네요 믿고 꾸준한진료받을께요~
416,의사 간호사 위생사 선생님들 너무 감사합니다. 너무 친절하시고 항상 밝은모습으로 대해주셔서 감사해요~^^  정기진료 받으로 종종 내원할게요~
417,간호사분들 친절하고 잘해주셨어요 ^^
418,"친절해요
아이치과 시설도 깨끗하고 원장님도 넘 좋으세요"
419,갈때마다 너무 친절해서 좋아요
420,"총 6번 방문했는데, 김준엽 원장님께서 갈때마다 하나하나 세심히 신경써주시고 꼼꼼하게 치료 잘 해주셨어요! 충치치료중에 과장아니라 진짜 잠들 정도로 정말 편하게 치료받았습니다. 결과도 만족스러워요! 감사함 듬뿍 담아 리뷰 남깁니다. 담에 남친이랑 검진하러 다시 갈게요:) "
421,저도 후기 보고왔는데 정말 서비스만큼은 좋네요 깔끔하고 친절하시고 진료도 너무 잘 봐주세요 신뢰가 되는곳입니다 치과는 앞으로 여기에서 다니면 될것같네요 감사합니다
422,쫄보인 저를 잘 다독거려주고 치료해주셨어요=_= 다음 주 사랑니 발치 생각중인데 전혀 두렵지가 않네요ㅎㅎ
423,"의사선생님이랑 간호사선생님들 왕 친절하시구 병원도 밝고 깔끔해서 긴장이 많이 풀렸어용
감사합니다 ㅎㅎ"
424,"전체적인 분위기도 쾌적하고 상담해주실때도 모르는 부분 쉽게 설명 잘 해주셔서 좋았습니다.
치위생사분도 스케일링 꼼꼼하고 아프지않게 해주셔서 편안했어요~~"
425,스케일링과 구강검진 받았어요.  여러 병원 알아보고 갔는데 잘 간거같아요.ㅎ 직원분들 모두 친절하세요. 무엇보다 의사선생님도 친절합니다! 요즘 불친절하면 그 병원은 다신 안가고 싶은데 여긴 다른 치료 받으러 또 갈것같아요.  과잉진료 없는 것도 맘에 들어요. 의사선생님이 말씀하신대로 앞니치료는 좀 더 지켜봤다가 할까해요..ㅎ감사합니다.
426,진짜 가봤던 치과중에서 제일 친절합니다.. 엘베 내리자마자 들어가지도 않았는데 멀리서부터 보고 인사해주시고 하나하나 세세하게 케어해주세요
427,갈때마다 친절하시구여 그 성함 기억안나는데 안경쓰신 원장님 친절하세용 과진료도 안하시구 짱!!
428,사랑니 발치 했는데 예약자가 많아 조금 기다려야했습니다. 걱정할까봐 계속 오셔서 자세한 설명과 안심할 수 있게 해주셔서 아프지 않게 치료 잘 했어요^^7
429,사랑니 아래위로 뺐는데 넘 친절하시고 잘 설명해주셔서 좋아요 뿌리가 휜 수평매복니였는데 뿌리까지 잘 뽑혔어요! 병원이 점점 유명해지고있어서 대기시간이 늘어날까봐 걱정돼요 ㅋㅋㅋㅋㅋㅋㅋㅋㅠㅠ 반대쪽 아래위 사랑니도 곧 빼러 가려구요ㅎㅎ 
430,새로 개원해서 그런가 인테리어도 크고 널찍했어요. 카운터에 있으신 분들이 너무 친절하셔서 감사했습니다. 정기검진 때 마다 방문할게요.
431,그동안 치과공포증으로 계속 치과미루고 멀리하다가 ... 충치때문에 결국 방문하게 되었는데 후기 처럼 정말 모든 분들 친절하세요 신경치료를 제일 겁나 했는데 마취도 안아프고 치료하는 동안도 안아팠어요 교정 상담해주신 실장님도 너무 친절하세요 최고에용 치과공포증 극복할 수 있을 것 같아요! 
432,"사랑니 발치 때문에 처음 방문 했는데 병원도 깨끗하고 선생님들, 원장님 너무 친절하셨어요̆̈ㅎㅎ 제가̐̈ 엄청 긴장해서 좀 정신사납게 행동했던 거 같은데ㅜㅜㅜ다 맞춰주시고 긴장 풀게 해 주시고 진짜 감사해요̆̈ 발치도 아프𓊄𓂭 않게 잘 해주신 거 같아요̆̈ ☺︎ 감사합니다💛"
433,"직장 근처에 치과를 찾다가 깔끔하고 인테리어도 예뻐서 원장님들 경력보고 예약했어요 잇몸에 염증이 생겨서 많이 걱정하면서 갔는데 다행이도 심한
게 아니라서 스케일링도 같이 치료 잘 받고 왔습니다 :D 데스크 선생님들부터 원장님도 엄청 친절하시고 꼼꼼하게 진료 봐주셨어요 주기적으로 자주 
갈것같아요!"
434,담당선생님 무진장친절하심. 시설깔끔해서좋음
435,병원이 깨끗하고  원장선생님 직원분들 친절하셔서 넘 좋았어요~~ 첫 진료라 긴장 됐는데 상세히 설명해 주시고 치료도 아프지 않게 해주셨어요. 감사합니다^^
436,"아이 충치치료로 방문했는데, 아이가 무섭지 않게 친절하게 설명해주시면서 치료해주셨습니다. 시설도 깨끗하고 깔끔해서 다른분들께도 적극 추천해드리고 싶습니다. "
437,너무 친절하시고 꼼꼼하세요! 감사합니당
438,근처여서 가봤는데 깨끗하고 좋아요! 다들 넘 친절하시고 상담도 잘 받고 왔습니다. 감사합니다~
439,치과를 엄청 무서워 하는데 의사분과 치위생사분들 모두 너무 친절하셨어요 :) 덕분에 처음으로 아프지 않게 또 무섭지 않게 진료 받을 수 있었어요 감사합니다❣️
440,밤늦게 아이 치료한 이가 떨어져서 난감했는데 인터넷으로 예약을 쉽게 할수 있어서 좋았어요  또 직원분들이 친철하게 설명해주시고 병원도 넓고 깨끗하네요 진료 상담 후 신경치료 해야한다고 해서  예약 날짜 잡고 왔네요ㅠ  아이가 겁이 많아서 잘 치료 받을수 있을지 걱정되지만 원장선생님 믿고 진료 받아 보려고요~^^
441,다들 친절하시고 스케일링 매우 만족했어요
442,샘들도 친절하시고 치과도 깔끔하고 아주좋았습니다.^^아이도 좋아하고 얌전히  영유아 검진하고 왔습니다 6개월뒤에 정기검진서 뵐게요^^
443,공간이 넓고 깨끗하고 아이 진료 받았는데 굉장히 친절하시고 상담도 잘해주셨어요.
444,"3,5살 아이 두명 급하게 구강검진 예약해서 갔는데 친절하고 잘해주셔서 거부감없이 잘 받았어요. 유아진료대기실도 나뉘어져있어서 좋았습니다. 다음번 불소도포하러 재방문할게요 ㅎㅎ"
445,"예전에 어금니 쪽에 금으로 떼웠던 게 떨어져서 방문했어요. 처음 가는 곳이고 치과가는 걸 무서워해서 엄청 걱정이 됬었는데, 다들 친절하시고 잘 치료
해주셔서 좋았어요.  처음가는 거라 엑스레이룰 찍고 난 후에는 상담쌤께서 간단히 설명해주시고, 그 다음에 의사쌤께서 엄청 꼼꼼하게 설명해주세요. 
환자가 궁금해할 수 있는 부분을 먼저 말씀해주셔서 좋았어요_! 제가 평상시에 불편했던 치아들의 문제점을 딱 알려주시고, 어떻게 치료해야 할 ..."
446,상담실장님이 상담도 잘해주시고 좋았습니다. 그외 다른점들은 보통이하였습니다...0
447,완전만족했어요
448,임플란트를 해야 해서 검색해보고 방문했습니다~ 이미 맘카페에서 친절하고 진료 잘하신다고 소문 났더라구요 친절히 상담해주셨고 믿고 치료 받을수 있을것 같습니다 
449,"다른 병원에서 사진을 찍어도 원인도 모르겠고, 통증이 심해져서 클라리티를 방문 했습니다.  일단,시설이 너무 깨끗하고 첫 진단 부터 체계적으로 이뤄
지더라고요. 사진을 찍고 예진실에서 티비만한 모니터로 원장님이 자세하게 여기는 어떤 상태고 어떤 치료를 받을 건지 모두 설명해주시고 다른 상담
해주시는 분께서 치료 받기전에 가격이 얼마고 어떤재질인지도 다 꼼꼼하게 설명해주셨어요. 그리고 중요한 치료! 예전에 신경치료를 무 마취로 ..."
450,"선생님이 너무 젠틀하시고 신중하시고 그래서 그런지 더 전문적으로 보였어요. 그리고 꼼꼼하게 진찰해주시더라구요. 간호사 선생님께서도 다들 친절보스 세요. 진짜 안갈 이유가 없네요 ㅠㅠ,, "
451,"시설도 좋고 깔끔하고 직원분들 의사선생님 다 친절하시고 좋았습니다.
종양제거 수술받고온터라 직원분들 많이 신경 써주셔서 감사합니다.스켈링 우선받고 주말에 충치치료 받으러갑니다."
452,"위치랑.건너건너.가본지인이.괜찮다는얘기에 진료예약햇습시다 치과공포증으로.진료안받은지.몇년이나됬고.상태안좋을거란.예감에.더.걱정이앞섰어
요.. 전체적인검진받고.결국.급한.사랑니발치랑.임플란트.들어가기로햇습니다... 걱정되고.무섭지만..포기하지않고.잘진료받을려구요..상담실장님께서
.자세하게설명잘해주셨구요.원장님.제발아프지않게.해주세요~~~ㅠㅠ"
453,"방문해보니 리뷰가 왜 좋은지 알 것 같아요! 원장님이 너무 젠틀, 꼼꼼하시고 병원분위기도 전체적으로 깔끔합니다. 상담도 잘 해주셨고 믿음가서 치료 예약하고 왔습니다. 다음주에 뵐게요! "
454,"타 지역에 살 때 대충 아무 치과나 갔다가 치료 가능한 이를 뽑을 뻔한 경험이 있어 봉명동 인근 7군데 치과를 방문해본 결과 여기 다니게 되었습니다. 
다른 치과 중에는 간호사가 찍은 사진으로 검진하는 치과, 통증 원인을 잘 찾아내지 못하는 치과, 반말인듯 존댓말인듯 애매한 어투로 말하는 건방진 치
과 등등이 있었습니다. 종합적으로 판단하여 해당 치과에서 치료를 받게 되었습니다.  이곳은 치과 직원 모든분들이 매우매우 친절하십니다. 원..."
455,치아 상태가 많이 안 좋아서 걱정되었는데 차분히 설명해주셔서 감사합니다. 그냥 빼고 임플란트 하자는 다른 병원과 달리 다양한 방법을 제시해주셔서 좋았던 것 같습니다.
456,치과에 계신 분들이 다 너무 예쁘고 자세하게 말해주셔서 쉽게 이해했어요. 이가 시려서 충치를 의심하고 갔는데 과잉진료도 전혀 없어서 너무 만족했습니다~
457,"원장님께서 직접 상담해주셔서 더 믿음이 갔어요
"
458,"소아치과 마음에 드는곳이 없어서 다른곳 찾아보다 방문했어요ㅎㅎ 어른이나 아이나 치과는 무서운 곳이라   분위기나 선생님 치료 스타일이 굉장히 
중요하다고 생각하는데 그런 부분에서 굉장히 만족스러웠어요ㅎ 소아 전문치과가 아니어서 걱정했는데 아이가 기다릴수 있게 소아대기실도 따로 준비
되어있고 진료후에는 잘했다며 여자아이 맞춤선물도 주셨어요^^ 바쁘신데도 질문에 친절히 답변해주신 선생님과 카운터에서 미리 대기 시간 양..."
459,"예약부터 진료까지 만족스러웠습니다. 사랑니발치와 다른치료를 병행했는데 전문적인 설명과 치료가 맘을 놓이게 했습니다 주차하기도 편해서 좋았고
예약시간준수나 원장님의 치료와 설명 특히 너무 만족합니다. 솔직히 견적을 다른곳에도 받아보고싶긴 하지만 직장인이라 시간이 없네요 거의 비슷비
슷할꺼라 생각하고 진료를 받아보니 신뢰가 가서 앞으로 쭉 진료받아볼 생각입니다. 병원시설 아주 깔끔하고 직원분들도 너무 친절합니다. 또한 ..."
460,"대전이 치과가 너~무 많아서 지인들에게 물어보고 검색해보느라 선택하기까지 참 어려웠습니다. 첨에는 걱정했는데 지금은 너무 신뢰해요!직원분들과
선생님들이 친절하셔서 오히려 제가 너무 감사했고 원장님께 검진받을때 치아하나씩 꼼꼼히 설명해주시고 적정수준의 치료로 잘 추천해주셔서 믿고 
바로 치료 결정했습니다! 잠깐 기다리는 동안에도 살펴주시고 치료과정 하나하나 설명해주셔서 크게 배려받는 느낌이었습니다! 동구에서부터 ..."
461,"안내, 진료, 수납 모두 친절히 안내해주시고 환자의 상태를 우선으로 생각해주셔서 좋았습니다."
462,"아말감이 탈락되어 치료차 방문하여 상담을 받았습니다. 상담시 원장님이 상태 파악해 주시고 필요한 진료 안내 후 코디네이터 분이 진료에 대한 진료
비와 방식등을 다시 설명해 주십니다. 다만, 저는 생각지도 않은 진료를 받게 되어 처음에는 좀 당황했는데 원장님이 치료 이유와 방법을 잘 설명해 주
셨습니다. 하지만 치료비가 생각보다 많게 나와 치료 예약 후 인터넷으로 치료비 부분에 대해서 확인해 보았는데 전국 평균보다 다소 비싸더라구..."
463,매우 만족했습니다! 치과에 계시는 모든 분들이 친절하신 것 같아요. 덕분에 마음 놓고 진료와 상담 받았어요 감사합니다~!
464,"일단 원장님과 직원분들이 너무 친절하시고 시설도 깔끔해요!
 그리고 원장님이 설명도 잘해주셔서 좋았습니다."
465,사랑니 짱아파요....으엑 29년린생 첫경험
466,친절하셨어요 스케일링 사랑니 발치 했습니다
467,"전 치과가 너무너무너무 무섭구(손을바들바들 떱니다ㅋㅋㅋ) 치과정말 꼼꼼히 검색해본후에 클라리티를 방문했어요 정말 다른리뷰처럼 친절하시구요
그리구 일단 원장님이 권이적이지 않아서 너무 좋았습니다 딱 이렇게하셔야해요가 아니라 여러가지 옵션을 두시는 치료법도 더 믿음이 같습니다 왜 
환자분들이 인사하거나 쳐다보믄 인사안하시는분도 있구 고개만 까닥 하시는분들 저는 싫거든요^^ 발치 어려우셨을텐데 끝나고나서도 수고너..."
468,친절하시고 안아프게 잘해주셨어요🤗🤗
469,스케일링하고 충치치료했어요. 다들 너무 친절하시고 꼼꼼히 설명해 주셔서 좋았습니다! 감사합니다^^ 
470,원장님 너무 친절하고 좋아요. 새로 생겨서 시설도 깨끗하고 주차도 편합니다.굿굿
471,처음 가봤는데 다들 너무 친절하시고 꼼꼼히 치아 확인해주셔서 좋았어요 ㅎㅎ
472,일단 깔끔하고 다들 친절하세요!! 제가 어릴때부터 치과에 대한 트라우마가 강해서 치료받을때마다 긴장도 많이 하고 겁을 많이 먹어서 힘들어 했는데 긴장 안되게 계속 다독여주시고 하나하나 세세하게 설명해주셔서 너무 좋았습니당❤️
473,"다들 친절하시고, 환자가 원하는 방향으로, 최대한 치아를 오래 쓸 수 있는 방향으로 진료해주십니다."
474,다들 친절하시고 궁금한점도 먼저 알려주시고 너무 깔끔한 치과였어요 👍🏻👍🏻 조금 멀지만 앞으로 클라리티 치과만 찾아 갈거 같아요 !!
475,모두 친절하고 좋아요^^
476,"저랑 아들 치료 받아보고 넘 만족해서
친정 엄마도 치과 갈 일 있으시다기에 추천 해 드렸어요.
넘 친절하고 좋았다고 엄마도 만족해하시네요^^"
477,"갑작스레 이가 부러져 너무 당황스러워 동네 치과에 가니 바로 발치하고 임플란트를 해야한다고 말해서 혹시 살릴 수 있는 방법이 없나 싶어서 클라리
티에 내원하였습니다. 의사선생님께서 꼼꼼하게 살펴보시고 친절하게 궁금했던 점을 잘 설명해주셨고, 임플란트는 언제든 할 수 있는거니 남은 이를 
쓸 수 있는 데까지 써보자고 하시며 치료방법을 제시해주셔서 좋았습니다. 환자 눈높이에서 잘 설명해주시고 열심히 치료해주시려는 모습이 참 ..."
478,"나이 40먹도록 아직 치과가 무서운 사람입니다. 지인 소개로 방문했는데, 그 동안 쌓였던 고정관념이 확 날라갔습니다. 편안한 분위기,친절한 데스크분
들,스케일링 꼼꼼하게 해주신 눈이 아주 예뻤던 선생님,편안하게 엑스레이 찍어준 선생님,쉽고 귀에 쏙쏙 들어오게 설명해준 상담선생님..그리고 원장
님..많은 치과를 다녀봤지만 의사샘이랑 이렇게 긴 대화를 나눈적이 없을 정도로, 정말 친절하시고 차근차근 알려주시더군요. 제 치료 다 끝나면 ..."
479,"아이 첫 영유아구강검진 때문에 방문했어요. 예약시간보다 한시간은 일찍 갔는데도 길게 대기 안하고 바로 검진 받을 수 있어 다행이었어요. 아이가 대
기하는 동안 화분에 있는 흙을 엎질러서 당황했는데 친절하게 치워주셔서 더 좋았습니다^^ 아이가 아직 말귀를 잘 못알아듣고 떼가 심해 걱정했는데, 
상냥하고 노련하게 검진해주시더라고요. 의사선생님 오시기 전 잠깐동안 의자에 누운 아이가 검사실에 적응 할 수 있게 간호사분이 잘 놀아주셔..."
480,친절하고 시설 좋아요. 그런데 예약은 뭐하러 하는건지.... 35분 지나도 감감무소식..
481,"방학동안 같은 건물 병원에서 근로중에 선생님 추천으로 3층에 치과 있는걸 알게 되서 열심히 검색하고 리뷰 꼼꼼히 보고 원장님 픽해서 갔어요! 처음
엔 제가 치아가 많이 나쁘다는걸 알아서 치료하러 가기가 창피해 고민했었는데 사진 찍고 나니까 이번기회에는 확실하게 치료 해야겠다는 생각이 들었
고 김준엽 원장님, 김국현 원장님이 번갈아 오시면서 하나하나 꼼꼼하게 앞으로 치료를 어떻게 해야될지 철저히 계획해서 상담해주셨어요. 그리..."
482,"시설 정말 깔끔하고,
직원분들 다들 너무너무 친절하세요!"
483,친절하고 깔끔해요
484,직원분들 너무  친절하시고 궁금한 점도 잘응대해주셔서 좋앗습니다 의사선생님께서도   치아 세심한 부분까지 진료해주시고 상담해주시고 잘 알려주셔서 너무 감사햇습니다 ~ 앞으로도 자주 이용 해야겟네요
485,"아이 치료차 다니다 넘 친절해서 제 치료 때도 오게 되었어요.  매번 올 때마다 느끼지만 친절은 기본이고 진짜 과잉진료 없이 잘 봐주시는 것 같아요. 원
장님이나 간호사님 모두 진료시 다음 뭐하는지 어떤지 일일이 다 설명하시며 치료하시고~ 임산부라고 배려도 엄청 해주셨네요 ㅎㅎ 스켈링 할때 보통 
잇몸 건드려 종종 아프기도 했는데 임산부라 잇몸 약해져있다고 좀 더 아플수 있다 하셨지만 전혀요. 넘 시원하게 잘 받고 왔어요~^^"
486,"아기 영유아 구강검진하러 처음 방문했는데 직원분들, 원장선생님 친절하시고 잘 봐주시네요~!
선천적으로 치아가 좀 안좋아서 걱정이었거든요 아기 첫 치과인데 여기로 쭉 다닐 생각입니다^^"
487,친절한 상담과 자세한 설명이 매우 만족스러웠습니다
488,시설 진짜 좋고 깔끔하고 넓어요 그리고 다들 친절하셔서 좋았어요 모르는 것도 다 알려 주시고 비용 안내도 친절하게 해 주셔서 좋았습니다 
489,"사랑니 빼러 처음 방문했는데 병원 직원분들, 원장선생님들 다들 친절하게 대해주셔서 너무 좋았어요!! 진료하러 들어가서 꼼꼼하게 치아도 봐주시고 앞으로는 치과 여기만 다닐것같습니다!"
490,엄청 친절하시고 설명도 잘해주셨어요 주차장도 넓어서 좋습니다 
491,직원분들 모두 매우 친절하시고 시설이 아주 깨끗해요 다음에도 여기도 오겠습니다😊
492,주차 시설도 잘 되어있고 새로 생긴 병원이라 그런지 굉장히 깔끔합니다. 그리고 환자를 배려하는 마음이 돋보이는 병원이었습니다. 궁금한 점이 많았는데 모든 질문에 자세히 답변해주셨습니다. 그리고 원장님 포함 병원 직원분들 모두 굉장히 친절하셔서 정말 놀랐습니다. 제가 그동안 받은 병원 진료 중에 가장 만족했던 진료였습니다. 앞으로 여기만 방문하게 될거 같아요. 감사합니다~
493,"엘레베이터에서 내리자마자 바로 보이는 치과 외관을 보고 깜짝 놀랐습니다 무척 깔끔하고 아늑한 분위기였어요 무엇보다 직원분들도 너무너무 친절
하십니다!! 정말 한분한분 챙겨주시려고 하는 모습이 보기 좋았구요 의사님도 본인소개를 간략히 해주시고 치아도 꼼꼼히 봐주시는것같았어요 치료가 
시급한 치아와 환자가 느끼는 불편함을 고려해서 치료해주시고 정말 치료가 필요한 것이 아니라면 권하시지 않는 모습에서는 신뢰가 느껴졌습..."
494,"친절하게 해주셔서 좋았습니다 ^^
다음 진료 때도 잘 부탁드립니다 ~"
495,처음 가보는 곳이라 검색해보고 갔는데 매우 만족합니다! 꼼꼼하게 진찰해주시고 보험이 되는 치료방법을 추천해주시면서 설명해주시니 부담되지 않아서 좋았어요! 다음에 또 방문해서 치료할 예정입니다! 스케일링도 하나도 안아프고 깨끗하게 된 것 같아요! 감사합니다^~^
496,진짜 너무너무 친절해요❣️
497,다른지역에서 온거라 네이버 리뷰만 믿고 방문했는데 다들 너무 친절하게 잘 설명해주셔서 너무 좋았습니다. 앞으로도 계속 방문할 예정입니다.
498,무통마취가 된다고 해서 방문했는데  전체적으로 너무 만족했어요ㅎㅎ 다른병원에서 사랑니 뺄때 고생을 너무 많이해서 걱정했는데 여기는 몇분안걸리게 바로 뽑아주시고 하나도 안아팠어요 주변에서 치과 추천해달라고 하면 무조건 클라리티 병원 추천해주려구요! 모두다 친절하시고 치료도 잘해주셔서 감사합니다-!
499,"백만년만에 스켈링이였는데 안아프게 잘해주셔서 감사해써효
시린이랑 충치치료 남았는데 그때도 잘부탁드립뉘다..^_ ㅜ
엄청 친절하셔서 치료받는내내 기분젛았어용 ♥"
500,"분위기가 카페처럼 편안했고 무엇보다 병원시설이 정말 깨끗해요~~
원장님, 실장님이 너무 친절하게 설명해주시고 상담해주셔서 미루고 미뤘던 사랑니 발치예약 잡았습니다ㅠ"
501,네이버예약이 가능해서 편리하고 직원분들이 친절합니다~~^^
502,오늘 스케일링 하고 사랑니 뽑았어요 ㅎㅎ 오랜만에 방문한 치과라 긴장했는데 의사선생님이랑 간호사분들 모두 친절하시고 마취도 잘해주셔서 하나도 아픈줄 모르고 잘 치료 받았어요~^^ 다시한번 감사드려요~
503,여기저기 후기 찾아보다 갔는데 다른 후기대로 다들 너무 친절하셨어요.  치료하기 전에 설명도 자세히 해주셔서 좋았습니다!
504,후기 보고 좋아서 방문했는데 선생님들 모두 친절하고 좋았어요! 스케일링 받으면서도 많이 웃었네요 ㅎㅎ 시설도 쾌적하고 앞으로도 여기 치과 이용하려고요 :)
505,아이 구강검진 다녀왔는데 입구에서부터 따뜻하고 상냥하게 맞이해주셔서 아이가 들어설때부터 거부감없이 진료받을수있었어요 ^^ 의사선생님도 친절하고 꼼꼼히 살펴봐주시고 구강교육도 해주셔서 아이 양치지도하는데 도움이될것같아요~ 감사합니다 🙏
506,"치과는 살면서 두번째인데 오늘이 제일 겁나고 아프고..ㅜ.ㅜ근데 선생님들 너무 친절해서 무사히 치료하고(또가야함)왔내요!
다음주에 제발 아프지 않기를...친절하게 도와주신 원장님 및 직원분들 감사합니다"
507,"마지막에 은니 교정해주신 여자선생님 진짜 넘 친절하셨어요. 본인도 아이 있다며 저희 아이 요리조리 달래며 진료해주시는데 정말 잘 다루시더라구요
. 소아치과도 다녀보고 했지만 여기 원장님 같으신  분도 없으신듯요. 치료 전,중,후 다 친절하신.. 보통 치료 끝나면 간호사님이 다 설명해 주시던데 여
긴 일부러 대기실에 나오셔서 자세히 설명해 주시고 가시고.. 일이 있어 후기가 많이 늦었는데 항상 만족한 진료였어요^^"
508,아이들 검진차 방문드렸는데 병원이 넓고 깨끗한 느낌~아이들 치료실 옆 대기실도 깔끔하고 너무 좋았어요~선생님들께서도 친절하게 설명해주셔서 너무 감사했습니다^^
509,"리뷰보고 방문했는데 소문대로 모든 분들이 친절하시고 맘편하게 진료받을수 있도록 도와주셔서 감동했습니다~~~^^
"
510,"지인 소개로 충치치료차 방문했어요! 일단 모든 시설이 깨끗하고 깔끔했고, 선생님들도 모두 친절하고 상냥하세요~ 충치부위의 정확한 진단을 위해 꼼꼼히 봐주셨고 어디 불편한데는 없는지 늘 체크해주시더라구요. 제 담당 의사선생님이 아니신데도 수납하고있는데 옆에서 인사도 따로 해주시고 (보통 이런 선생님들 흔치 않으시죠..) 긴장 풀고 편히 진료볼 수 있었습니다."
511, 선생님들 친절하구 꼼꼼히 봐주셨어요
512,"저는 교정치료때문에 클라리티 치과를 다니고 있는데요. 데스크에 직원분들 늘 웃는모습으로 반갑게 맞아주셔서 너무 좋아요. 이 날도 제가 예약시간
에 많이 늦었는데 먼저 연락주시고 너무 감사했네요. 교정치료중 불편감 공감해주며 응원해주시는 원장님과 정성스럽게 진행해주는 스텝 선생님들 멋
진 디자인에 넓고 쾌적한 공간 별도로 마련되어있는 소아치료실 교정치료나 치과치료 필요하시다면 적극 추천해드려요~^^"
513,엄청 친절하고 설명도 자세하게 잘 해주네요. 스케일링도 다른 치과랑 다르게 꼼꼼하게 해주네요. 병원도 깨끗하고 모든점이 맘에 쏙 드네요
514,"새로 생겨서인지 엄청 깔끔하고 크네요. 데스크에 계신 직원분도 엄청 친절하시고, 아이 다루던 간호사님도 아이에게 진찰전 친절하게 조곤조곤 설명
해주셔서 좋았어요. 의사선생님도 과잉진료없이 아이, 엄마에게 친절히 대해주시더라구요. 진짜 모두 친절한 느낌 가득 받고 왔네요.   다음 제 진료도 
보러 가야겠어요^^"
515,"잇몸치료차 다녀왔어요.  전체적인 구강상태를 확인하고 설명도 들었습니다~  잇몸치료도 잘 해주셨어요!  입술마르는거..아시고 간호사선생님께서 바
세린도 발라주셨어요. 치료 만족하고 선생님시술이 하나도 아프지 않았습니다. 앞으로 관리방법도 알려주셔서 치과에서 맘이 편해졌어요. 저는 강추합
니다~"
516,"잇몸치료차 다녀왔어요.  추후 관리도 설명해주시고 잘 봐주셨고 레이저로 잇몸치료 했는데  아프지 않았어요.  간호사쌤께서 입술마르지말라고 바세
린도 발라주셨어요~ 감사합니다. 클라리티 치과 강추합니다"
517,친절하게  잘 해주셨어요 ㅎㅎ 다음에 또 갑니다!
518,"깨끗하고, 선생님들도 다 친절하셔서 좋았어요.
덕분에 아이가 치과에 대해 좋은 기억이 생겨서 다음에 오게되어도 수월할것 같아요.
감사드립니다."
519,"예약시간에 맞춰서 진료 받을 수 있어서 좋았어요. 물론 선생님들도 너무 친절하시고, 시설도 깨끗해서 좋았습니다. 고맙습니다 :  ) "
520,모든분들이 친절하셔서 진료받기 편했습니다.
521,친절하고 깨끗해서 좋아요!!ㅎㅎ
522,"새로 생긴 곳이어서 무척 깔끔하고 조용합니다
간호사분들 의사선생님 잘 대해주셔서
따로 키즈진료하는 곳에서 영유아검진 잘 받았답니다"
523,"직원 분들도 친절했고 추가로 몇번 더 내원하겠지만 의사선생님도 진정성 있게 진료해주시는거 같습니다.
추가 치료 결과가 만족스럽다면 치과 갈일 있으면 계속 이용할 수 있을거 같네요"
